Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD,Skybags Brat Black 46 Cms Casual Backpack,649,4.1,"5,495",N/A,N/A,N/A,N/A
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=ice_ac_b_dpb,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"1,199",4.0,"55,193",N/A,N/A,N/A,N/A
https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"3,423",N/A,N/A,N/A,N/A
https://www.amazon.in/gp/bestsellers/luggage/1984997031/ref=sr_bs_3_1984997031_1,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",849,4.3,"5,589",N/A,N/A,N/A,N/A
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),599,3.7,"2,455",N/A,N/A,N/A,N/A
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",649,3.9,"16,922",N/A,N/A,N/A,N/A
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,899,4.3,"6,485",Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,N/A,"Product description    
 Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel",Brand: FUR JADEN
https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,649,3.6,222,N/A,N/A,N/A,N/A
https://www.amazon.in/gp/bestsellers/luggage/2917436031/ref=sr_bs_8_2917436031_1,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,199,3.7,"7,035",N/A,N/A,N/A,N/A
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679,4.0,"5,570",N/A,N/A,N/A,N/A
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,979,4.4,"6,033","Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.",N/A,"Product description    
 Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.",Visit the Gear Store
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,399",4.2,658,N/A,N/A,N/A,N/A
https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",398,4.1,"9,684",N/A,N/A,N/A,N/A
https://www.amazon.in/gp/bestsellers/luggage/2917507031/ref=sr_bs_13_2917507031_1,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),387,4.3,"7,888",N/A,N/A,N/A,N/A
https://www.amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ,Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,843,3.6,912,N/A,N/A,N/A,N/A
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",839,4.3,"4,155",N/A,N/A,,Brand: Lenovo
